ExpenseDate,ExpenseType,Amount_VND
2024-08-04,Logistics,6712947
2024-08-05,Logistics,6986690
2024-08-06,Logistics,6715939
2024-08-07,Logistics,6918632
2024-08-08,Logistics,6013037
2024-08-09,Logistics,5972173
2024-08-10,Logistics,6848791
2024-08-11,Logistics,6071318
2024-08-12,Logistics,6850652
2024-08-13,Logistics,6107619
2024-08-14,Logistics,6624964
2024-08-15,Logistics,7195916
2024-08-16,Logistics,6596757
2024-08-17,Logistics,6047888
2024-08-18,Logistics,6823271
2024-08-19,Logistics,6045610
2024-08-20,Logistics,6199955
2024-08-21,Logistics,7210551
2024-08-22,Logistics,6345320
2024-08-23,Logistics,6635429
2024-08-24,Logistics,7036747
2024-08-25,Logistics,6543580
2024-08-26,Logistics,7033988
2024-08-27,Logistics,6338955
2024-08-28,Logistics,6738807
2024-08-29,Logistics,6598107
2024-08-30,Logistics,6334546
2024-08-31,Logistics,6217954
2024-09-01,Logistics,6711514
2024-09-02,Logistics,7202037
2024-09-03,Logistics,7442807
2024-09-04,Logistics,6441435
2024-09-05,Logistics,6663245
2024-09-06,Logistics,7394798
2024-09-07,Logistics,6696369
2024-09-08,Logistics,6438841
2024-09-09,Logistics,6678810
2024-09-10,Logistics,6874333
2024-09-11,Logistics,7354152
2024-09-12,Logistics,6758699
2024-09-13,Logistics,6472689
2024-09-14,Logistics,7328869
2024-09-15,Logistics,6755392
2024-09-16,Logistics,7100685
2024-09-17,Logistics,7093423
2024-09-18,Logistics,6289827
2024-09-19,Logistics,6489241
2024-09-20,Logistics,6599860
2024-09-21,Logistics,7163513
2024-09-22,Logistics,7302447
2024-09-23,Logistics,7428856
2024-09-24,Logistics,6437281
2024-09-25,Logistics,6701587
2024-09-26,Logistics,6597186
2024-09-27,Logistics,7126090
2024-09-28,Logistics,7407924
2024-09-29,Logistics,6178090
2024-09-30,Logistics,6768774
2024-10-01,Logistics,7068006
2024-10-02,Logistics,6421635
2024-10-03,Logistics,6351872
2024-10-04,Logistics,7182534
2024-10-05,Logistics,7193620
2024-10-06,Logistics,7119287
2024-10-07,Logistics,7267119
2024-10-08,Logistics,7085536
2024-10-09,Logistics,7155099
2024-10-10,Logistics,6687910
2024-10-11,Logistics,6793381
2024-10-12,Logistics,6549771
2024-10-13,Logistics,7156330
2024-10-14,Logistics,6636140
2024-10-15,Logistics,6878571
2024-10-16,Logistics,6662944
2024-10-17,Logistics,7192175
2024-10-18,Logistics,6590920
2024-10-19,Logistics,6996926
2024-10-20,Logistics,6347016
2024-10-21,Logistics,7224599
2024-10-22,Logistics,5969118
2024-10-23,Logistics,6734659
2024-10-24,Logistics,7136765
2024-10-25,Logistics,6645367
2024-10-26,Logistics,7135466
2024-10-27,Logistics,7028739
2024-10-28,Logistics,6199787
2024-10-29,Logistics,7040152
2024-10-30,Logistics,6027642
2024-10-31,Logistics,5980008
2024-11-01,Logistics,6670788
2024-11-02,Logistics,6850299
2024-11-03,Logistics,7505903
2024-11-04,Logistics,6324293
2024-11-05,Logistics,7445224
2024-11-06,Logistics,7391597
2024-11-07,Logistics,7437473
2024-11-08,Logistics,6562693
2024-11-09,Logistics,6155275
2024-11-10,Logistics,7281384
2024-11-11,Logistics,6237274
2024-11-12,Logistics,6904034
2024-11-13,Logistics,6654377
2024-11-14,Logistics,7377384
2024-11-15,Logistics,6999883
2024-11-16,Logistics,6942495
2024-11-17,Logistics,7317487
2024-11-18,Logistics,6782207
2024-11-19,Logistics,7188619
2024-11-20,Logistics,6936319
2024-11-21,Logistics,6538674
2024-11-22,Logistics,7194516
2024-11-23,Logistics,7102243
2024-11-24,Logistics,7326137
2024-11-25,Logistics,6703147
2024-11-26,Logistics,6871323
2024-11-27,Logistics,6254903
2024-11-28,Logistics,6910549
2024-11-29,Logistics,6639856
2024-11-30,Logistics,6909457
2024-12-01,Logistics,6531107
2024-12-02,Logistics,7172667
2024-12-03,Logistics,6747386
2024-12-04,Logistics,7120329
2024-12-05,Logistics,6075695
2024-12-06,Logistics,6238221
2024-12-07,Logistics,6456882
2024-12-08,Logistics,6088524
2024-12-09,Logistics,7205095
2024-12-10,Logistics,7172074
2024-12-11,Logistics,6852035
2024-12-12,Logistics,6348665
2024-12-13,Logistics,6107335
2024-12-14,Logistics,6034008
2024-12-15,Logistics,7001080
2024-12-16,Logistics,6743420
2024-12-17,Logistics,6518181
2024-12-18,Logistics,6771039
2024-12-19,Logistics,6119155
2024-12-20,Logistics,6530515
2024-12-21,Logistics,6346115
2024-12-22,Logistics,6756091
2024-12-23,Logistics,7155091
2024-12-24,Logistics,5974728
2024-12-25,Logistics,6507208
2024-12-26,Logistics,6156361
2024-12-27,Logistics,7132317
2024-12-28,Logistics,6165964
2024-12-29,Logistics,6776858
2024-12-30,Logistics,6288164
2024-12-31,Logistics,6747966
2024-01-01,Điện nước,3099059
2024-01-02,Điện nước,3167338
2024-01-03,Điện nước,3430385
2024-01-04,Điện nước,3214193
2024-01-05,Điện nước,3190658
2024-01-06,Điện nước,3000889
2024-01-07,Điện nước,3264855
2024-01-08,Điện nước,3076964
2024-01-09,Điện nước,3222355
2024-01-10,Điện nước,3530905
2024-01-11,Điện nước,3496332
2024-01-12,Điện nước,3611248
2024-01-13,Điện nước,3251139
2024-01-14,Điện nước,3189585
2024-01-15,Điện nước,3372977
2024-01-16,Điện nước,3229286
2024-01-17,Điện nước,3367626
2024-01-18,Điện nước,3420229
2024-01-19,Điện nước,3052669
2024-01-20,Điện nước,3032297
2024-01-21,Điện nước,3390822
2024-01-22,Điện nước,3531956
2024-01-23,Điện nước,3126852
2024-01-24,Điện nước,3494441
2024-01-25,Điện nước,3519338
2024-01-26,Điện nước,2990738
2024-01-27,Điện nước,3271757
2024-01-28,Điện nước,3269308
2024-01-29,Điện nước,3302040
2024-01-30,Điện nước,3549588
2024-01-31,Điện nước,3351277
2024-02-01,Điện nước,3383415
2024-02-02,Điện nước,3200452
2024-02-03,Điện nước,3234820
2024-02-04,Điện nước,3472976
2024-02-05,Điện nước,3400578
2024-02-06,Điện nước,3845924
2024-02-07,Điện nước,3382010
2024-02-08,Điện nước,3204808
2024-02-09,Điện nước,3358307
2024-02-10,Điện nước,3692807
2024-02-11,Điện nước,3835304
2024-02-12,Điện nước,3670639
2024-02-13,Điện nước,3875611
2024-02-14,Điện nước,3349698
2024-02-15,Điện nước,3570469
2024-02-16,Điện nước,3493861
2024-02-17,Điện nước,3315775
2024-02-18,Điện nước,3420341
2024-02-19,Điện nước,3685502
2024-02-20,Điện nước,3655350
2024-02-21,Điện nước,3751919
2024-02-22,Điện nước,3338475
2024-02-23,Điện nước,3309868
2024-02-24,Điện nước,3198029
2024-02-25,Điện nước,3453828
2024-02-26,Điện nước,3197957
2024-02-27,Điện nước,3349175
2024-02-28,Điện nước,3651723
2024-02-29,Điện nước,3298085
2024-03-01,Điện nước,3454334
2024-03-02,Điện nước,3395495
2024-03-03,Điện nước,3143814
2024-03-04,Điện nước,3068152
2024-03-05,Điện nước,3380532
2024-03-06,Điện nước,3154368
2024-03-07,Điện nước,2978475
2024-03-08,Điện nước,3612872
2024-03-09,Điện nước,3228345
2024-03-10,Điện nước,3304416
2024-03-11,Điện nước,3236401
2024-03-12,Điện nước,3165622
2024-03-13,Điện nước,3515833
2024-03-14,Điện nước,3496075
2024-03-15,Điện nước,3255922
2024-03-16,Điện nước,3019518
2024-03-17,Điện nước,3196204
2024-03-18,Điện nước,2995314
2024-03-19,Điện nước,3193665
2024-03-20,Điện nước,3575781
2024-03-21,Điện nước,3439951
2024-03-22,Điện nước,3533258
2024-03-23,Điện nước,3591106
2024-03-24,Điện nước,3457917
2024-03-25,Điện nước,3557193
2024-03-26,Điện nước,3358625
2024-03-27,Điện nước,3374115
2024-03-28,Điện nước,3469411
2024-03-29,Điện nước,3204031
2024-03-30,Điện nước,2992516
2024-03-31,Điện nước,3528179
2024-04-01,Điện nước,3204911
2024-04-02,Điện nước,3435322
2024-04-03,Điện nước,3485740
2024-04-04,Điện nước,3713303
2024-04-05,Điện nước,3425130
2024-04-06,Điện nước,3608773
2024-04-07,Điện nước,3464832
2024-04-08,Điện nước,3190176
2024-04-09,Điện nước,3235399
2024-04-10,Điện nước,3464730
2024-04-11,Điện nước,3406059
2024-04-12,Điện nước,3219381
2024-04-13,Điện nước,3279935
2024-04-14,Điện nước,3446580
2024-04-15,Điện nước,3605584
2024-04-16,Điện nước,3112410
2024-04-17,Điện nước,3722149
2024-04-18,Điện nước,3122098
2024-04-19,Điện nước,3404328
2024-04-20,Điện nước,3522187
2024-04-21,Điện nước,3083754
2024-04-22,Điện nước,3270379
2024-04-23,Điện nước,3357108
2024-04-24,Điện nước,3210454
2024-04-25,Điện nước,3182533
2024-04-26,Điện nước,3561372
2024-04-27,Điện nước,3379879
2024-04-28,Điện nước,3558183
2024-04-29,Điện nước,3253214
2024-04-30,Điện nước,3305205
2024-05-01,Điện nước,3614543
2024-05-02,Điện nước,3014770
2024-05-03,Điện nước,3575759
2024-05-04,Điện nước,2978780
2024-05-05,Điện nước,3574650
2024-05-06,Điện nước,3586995
2024-05-07,Điện nước,3010809
2024-05-08,Điện nước,3240036
2024-05-09,Điện nước,3116333
2024-05-10,Điện nước,3169842
2024-05-11,Điện nước,3102731
2024-05-12,Điện nước,3423970
2024-05-13,Điện nước,3238338
2024-05-14,Điện nước,3512252
2024-05-15,Điện nước,3291353
2024-05-16,Điện nước,3167418
2024-05-17,Điện nước,3277062
2024-05-18,Điện nước,3555602
2024-05-19,Điện nước,3370686
2024-05-20,Điện nước,3209807
2024-05-21,Điện nước,3151903
2024-05-22,Điện nước,3230097
2024-05-23,Điện nước,3608846
2024-05-24,Điện nước,3227486
2024-05-25,Điện nước,3070550
2024-05-26,Điện nước,3615484
2024-05-27,Điện nước,3215893
2024-05-28,Điện nước,3011145
2024-05-29,Điện nước,2984901
2024-05-30,Điện nước,3237197
2024-05-31,Điện nước,3419859
2024-06-01,Điện nước,3127791
2024-06-02,Điện nước,3137194
2024-06-03,Điện nước,3241849
2024-06-04,Điện nước,3232259
2024-06-05,Điện nước,3253376
2024-06-06,Điện nước,3740306
2024-06-07,Điện nước,3512999
2024-06-08,Điện nước,3710498
2024-06-09,Điện nước,3617245
2024-06-10,Điện nước,3653518
2024-06-11,Điện nước,3597122
2024-06-12,Điện nước,3365059
2024-06-13,Điện nước,3588357
2024-06-14,Điện nước,3576939
2024-06-15,Điện nước,3694546
2024-06-16,Điện nước,3717954
2024-06-17,Điện nước,3581667
2024-06-18,Điện nước,3715132
2024-06-19,Điện nước,3527929
2024-06-20,Điện nước,3160981
2024-06-21,Điện nước,3648378
2024-06-22,Điện nước,3204047
2024-06-23,Điện nước,3537558
2024-06-24,Điện nước,3416790
2024-06-25,Điện nước,3112652
2024-06-26,Điện nước,3442609
2024-06-27,Điện nước,3471473
2024-06-28,Điện nước,3232181
2024-06-29,Điện nước,3500293
2024-06-30,Điện nước,3558484
2024-07-01,Điện nước,3255139
2024-07-02,Điện nước,3227592
2024-07-03,Điện nước,3312269
2024-07-04,Điện nước,3474826
2024-07-05,Điện nước,3008820
2024-07-06,Điện nước,2996316
2024-07-07,Điện nước,3011096
2024-07-08,Điện nước,3176427
2024-07-09,Điện nước,3449656
2024-07-10,Điện nước,3227361
2024-07-11,Điện nước,3532800
2024-07-12,Điện nước,3068760
2024-07-13,Điện nước,3394439
2024-07-14,Điện nước,3541089
2024-07-15,Điện nước,3357457
2024-07-16,Điện nước,3509637
2024-07-17,Điện nước,3453381
2024-07-18,Điện nước,3320248
2024-07-19,Điện nước,3217842
2024-07-20,Điện nước,3211816
2024-07-21,Điện nước,3320877
2024-07-22,Điện nước,3497487
2024-07-23,Điện nước,3208014
2024-07-24,Điện nước,3052694
2024-07-25,Điện nước,3279487
2024-07-26,Điện nước,3392926
2024-07-27,Điện nước,3614823
2024-07-28,Điện nước,3355104
2024-07-29,Điện nước,3151249
2024-07-30,Điện nước,3022705
2024-07-31,Điện nước,3494810
2024-08-01,Điện nước,3216472
2024-08-02,Điện nước,3398620
2024-08-03,Điện nước,3157152
2024-08-04,Điện nước,3580892
2024-08-05,Điện nước,3209295
2024-08-06,Điện nước,3444120
2024-08-07,Điện nước,3155032
2024-08-08,Điện nước,3356087
2024-08-09,Điện nước,3155140
2024-08-10,Điện nước,3100983
2024-08-11,Điện nước,3399467
2024-08-12,Điện nước,3442024
2024-08-13,Điện nước,3480754
2024-08-14,Điện nước,3469528
2024-08-15,Điện nước,3238692
2024-08-16,Điện nước,3097282
2024-08-17,Điện nước,3522512
2024-08-18,Điện nước,3217886
2024-08-19,Điện nước,3109350
2024-08-20,Điện nước,3137533
2024-08-21,Điện nước,3580661
2024-08-22,Điện nước,3115065
2024-08-23,Điện nước,2988555
2024-08-24,Điện nước,3231970
2024-08-25,Điện nước,3063219
2024-08-26,Điện nước,3236710
2024-08-27,Điện nước,3594230
2024-08-28,Điện nước,3206671
2024-08-29,Điện nước,3123183
2024-08-30,Điện nước,3209736
2024-08-31,Điện nước,3250073
2024-09-01,Điện nước,3316866
2024-09-02,Điện nước,3398820
2024-09-03,Điện nước,3565189
2024-09-04,Điện nước,3318484
2024-09-05,Điện nước,3157873
2024-09-06,Điện nước,3393412
2024-09-07,Điện nước,3696081
2024-09-08,Điện nước,3279729
2024-09-09,Điện nước,3111136
2024-09-10,Điện nước,3464243
2024-09-11,Điện nước,3566747
2024-09-12,Điện nước,3326709
2024-09-13,Điện nước,3510636
2024-09-14,Điện nước,3372369
2024-09-15,Điện nước,3345322
2024-09-16,Điện nước,3148575
2024-09-17,Điện nước,3198624
2024-09-18,Điện nước,3087089
2024-09-19,Điện nước,3283802
2024-09-20,Điện nước,3392220
2024-09-21,Điện nước,3692475
2024-09-22,Điện nước,3734376
2024-09-23,Điện nước,3645064
2024-09-24,Điện nước,3562568
2024-09-25,Điện nước,3545429
2024-09-26,Điện nước,3083117
2024-09-27,Điện nước,3508684
2024-09-28,Điện nước,3245075
2024-09-29,Điện nước,3114302
2024-09-30,Điện nước,3657644
2024-10-01,Điện nước,3172723
2024-10-02,Điện nước,3337945
2024-10-03,Điện nước,3211186
2024-10-04,Điện nước,3197990
2024-10-05,Điện nước,3457604
2024-10-06,Điện nước,3437024
2024-10-07,Điện nước,3366723
2024-10-08,Điện nước,3452482
2024-10-09,Điện nước,3186567
2024-10-10,Điện nước,3573871
2024-10-11,Điện nước,3297209
2024-10-12,Điện nước,3336419
2024-10-13,Điện nước,3531653
2024-10-14,Điện nước,3369192
2024-10-15,Điện nước,3304075
2024-10-16,Điện nước,3062704
2024-10-17,Điện nước,3129581
2024-10-18,Điện nước,3441375
2024-10-19,Điện nước,3516595
2024-10-20,Điện nước,3147434
2024-10-21,Điện nước,3523551
2024-10-22,Điện nước,3219932
2024-10-23,Điện nước,3408703
2024-10-24,Điện nước,3057393
2024-10-25,Điện nước,3477043
2024-10-26,Điện nước,3399023
2024-10-27,Điện nước,3108392
2024-10-28,Điện nước,3087068
2024-10-29,Điện nước,3024989
2024-10-30,Điện nước,3076151
2024-10-31,Điện nước,3364786
2024-11-01,Điện nước,3304365
2024-11-02,Điện nước,3396791
2024-11-03,Điện nước,3301404
2024-11-04,Điện nước,3696277
2024-11-05,Điện nước,3469731
2024-11-06,Điện nước,3525117
2024-11-07,Điện nước,3299533
2024-11-08,Điện nước,3323249
2024-11-09,Điện nước,3153065
2024-11-10,Điện nước,3713375
2024-11-11,Điện nước,3460915
2024-11-12,Điện nước,3593123
2024-11-13,Điện nước,3737049
2024-11-14,Điện nước,3399735
2024-11-15,Điện nước,3185194
2024-11-16,Điện nước,3399766
2024-11-17,Điện nước,3375636
2024-11-18,Điện nước,3403069
2024-11-19,Điện nước,3100927
2024-11-20,Điện nước,3565722
2024-11-21,Điện nước,3721117
2024-11-22,Điện nước,3473211
2024-11-23,Điện nước,3656834
2024-11-24,Điện nước,3298936
2024-11-25,Điện nước,3710713
2024-11-26,Điện nước,3670315
2024-11-27,Điện nước,3342900
2024-11-28,Điện nước,3292068
2024-11-29,Điện nước,3547925
2024-11-30,Điện nước,3397504
2024-12-01,Điện nước,3046257
2024-12-02,Điện nước,2986000
2024-12-03,Điện nước,3028181
2024-12-04,Điện nước,3270869
2024-12-05,Điện nước,3485957
2024-12-06,Điện nước,3142496
2024-12-07,Điện nước,3280003
2024-12-08,Điện nước,3411736
2024-12-09,Điện nước,3085778
2024-12-10,Điện nước,3623731
2024-12-11,Điện nước,3260142
2024-12-12,Điện nước,3225255
2024-12-13,Điện nước,3459459
2024-12-14,Điện nước,3271375
2024-12-15,Điện nước,3549293
2024-12-16,Điện nước,3046606
2024-12-17,Điện nước,3019016
2024-12-18,Điện nước,3281383
2024-12-19,Điện nước,3570007
2024-12-20,Điện nước,3249186
2024-12-21,Điện nước,3112201
2024-12-22,Điện nước,3356129
2024-12-23,Điện nước,3183613
2024-12-24,Điện nước,3176240
2024-12-25,Điện nước,3069124
2024-12-26,Điện nước,3008660
2024-12-27,Điện nước,3451608
2024-12-28,Điện nước,3135252
2024-12-29,Điện nước,3535575
2024-12-30,Điện nước,3591741
2024-12-31,Điện nước,3586693
2024-01-01,Văn phòng phẩm,3105210
2024-01-02,Văn phòng phẩm,3623451
2024-01-03,Văn phòng phẩm,3499420
2024-01-04,Văn phòng phẩm,3600145
2024-01-05,Văn phòng phẩm,2988439
2024-01-06,Văn phòng phẩm,3463514
2024-01-07,Văn phòng phẩm,3019243
2024-01-08,Văn phòng phẩm,3481233
2024-01-09,Văn phòng phẩm,3159590
2024-01-10,Văn phòng phẩm,3129030
2024-01-11,Văn phòng phẩm,3115550
2024-01-12,Văn phòng phẩm,3439582
2024-01-13,Văn phòng phẩm,3614791
2024-01-14,Văn phòng phẩm,3062861
2024-01-15,Văn phòng phẩm,3115326
2024-01-16,Văn phòng phẩm,3352235
2024-01-17,Văn phòng phẩm,3501621
2024-01-18,Văn phòng phẩm,3174172
2024-01-19,Văn phòng phẩm,3151638
2024-01-20,Văn phòng phẩm,3028870
2024-01-21,Văn phòng phẩm,2977901
2024-01-22,Văn phòng phẩm,2992494
2024-01-23,Văn phòng phẩm,2988513
2024-01-24,Văn phòng phẩm,3360730
2024-01-25,Văn phòng phẩm,3221991
2024-01-26,Văn phòng phẩm,3374550
2024-01-27,Văn phòng phẩm,3328302
2024-01-28,Văn phòng phẩm,3283515
2024-01-29,Văn phòng phẩm,3209935
2024-01-30,Văn phòng phẩm,3338443
2024-01-31,Văn phòng phẩm,3055821
2024-02-01,Văn phòng phẩm,3665168
2024-02-02,Văn phòng phẩm,3563367
2024-02-03,Văn phòng phẩm,3563379
2024-02-04,Văn phòng phẩm,3192460
2024-02-05,Văn phòng phẩm,3222729
2024-02-06,Văn phòng phẩm,3338867
2024-02-07,Văn phòng phẩm,3576774
2024-02-08,Văn phòng phẩm,3355574
2024-02-09,Văn phòng phẩm,3378197
2024-02-10,Văn phòng phẩm,3619721
2024-02-11,Văn phòng phẩm,3479782
2024-02-12,Văn phòng phẩm,3728929
2024-02-13,Văn phòng phẩm,3434298
2024-02-14,Văn phòng phẩm,3336285
2024-02-15,Văn phòng phẩm,3742404
2024-02-16,Văn phòng phẩm,3331023
2024-02-17,Văn phòng phẩm,3393206
2024-02-18,Văn phòng phẩm,3316382
2024-02-19,Văn phòng phẩm,3528922
2024-02-20,Văn phòng phẩm,3307856
2024-02-21,Văn phòng phẩm,3561243
2024-02-22,Văn phòng phẩm,3317356
2024-02-23,Văn phòng phẩm,3417504
2024-02-24,Văn phòng phẩm,3676346
2024-02-25,Văn phòng phẩm,3349792
2024-02-26,Văn phòng phẩm,3347791
2024-02-27,Văn phòng phẩm,3298483
2024-02-28,Văn phòng phẩm,3690848
2024-02-29,Văn phòng phẩm,3693138
2024-03-01,Văn phòng phẩm,3473232
2024-03-02,Văn phòng phẩm,3249439
2024-03-03,Văn phòng phẩm,3201585
2024-03-04,Văn phòng phẩm,3295520
2024-03-05,Văn phòng phẩm,3475029
2024-03-06,Văn phòng phẩm,2986149
2024-03-07,Văn phòng phẩm,3531699
2024-03-08,Văn phòng phẩm,3137479
2024-03-09,Văn phòng phẩm,3352315
2024-03-10,Văn phòng phẩm,3215182
2024-03-11,Văn phòng phẩm,3355184
2024-03-12,Văn phòng phẩm,3027856
2024-03-13,Văn phòng phẩm,3443707
2024-03-14,Văn phòng phẩm,3254826
2024-03-15,Văn phòng phẩm,3062459
2024-03-16,Văn phòng phẩm,3294398
2024-03-17,Văn phòng phẩm,3625134
2024-03-18,Văn phòng phẩm,3048084
2024-03-19,Văn phòng phẩm,3484807
2024-03-20,Văn phòng phẩm,3255693
2024-03-21,Văn phòng phẩm,3225281
2024-03-22,Văn phòng phẩm,3329861
2024-03-23,Văn phòng phẩm,3460539
2024-03-24,Văn phòng phẩm,3438769
2024-03-25,Văn phòng phẩm,3101695
2024-03-26,Văn phòng phẩm,3421940
2024-03-27,Văn phòng phẩm,3397191
2024-03-28,Văn phòng phẩm,3537979
2024-03-29,Văn phòng phẩm,2979819
2024-03-30,Văn phòng phẩm,3595192
2024-03-31,Văn phòng phẩm,3148219
2024-04-01,Văn phòng phẩm,3495514
2024-04-02,Văn phòng phẩm,3625988
2024-04-03,Văn phòng phẩm,3173055
2024-04-04,Văn phòng phẩm,3592956
2024-04-05,Văn phòng phẩm,3269523
2024-04-06,Văn phòng phẩm,3529337
2024-04-07,Văn phòng phẩm,3161249
2024-04-08,Văn phòng phẩm,3509343
2024-04-09,Văn phòng phẩm,3460678
2024-04-10,Văn phòng phẩm,3260735
2024-04-11,Văn phòng phẩm,3654788
2024-04-12,Văn phòng phẩm,3403804
2024-04-13,Văn phòng phẩm,3744489
2024-04-14,Văn phòng phẩm,3292630
2024-04-15,Văn phòng phẩm,3247919
2024-04-16,Văn phòng phẩm,3679778
2024-04-17,Văn phòng phẩm,3200102
2024-04-18,Văn phòng phẩm,3716234
2024-04-19,Văn phòng phẩm,3403931
2024-04-20,Văn phòng phẩm,3483265
2024-04-21,Văn phòng phẩm,3184420
2024-04-22,Văn phòng phẩm,3273123
2024-04-23,Văn phòng phẩm,3170124
2024-04-24,Văn phòng phẩm,3753521
2024-04-25,Văn phòng phẩm,3258114
2024-04-26,Văn phòng phẩm,3471927
2024-04-27,Văn phòng phẩm,3494175
2024-04-28,Văn phòng phẩm,3734054
2024-04-29,Văn phòng phẩm,3550662
2024-04-30,Văn phòng phẩm,3145175
2024-05-01,Văn phòng phẩm,3490027
2024-05-02,Văn phòng phẩm,3064122
2024-05-03,Văn phòng phẩm,3385185
2024-05-04,Văn phòng phẩm,3087859
2024-05-05,Văn phòng phẩm,3540520
2024-05-06,Văn phòng phẩm,2975558
2024-05-07,Văn phòng phẩm,3342550
2024-05-08,Văn phòng phẩm,3443722
2024-05-09,Văn phòng phẩm,3289332
2024-05-10,Văn phòng phẩm,3109628
2024-05-11,Văn phòng phẩm,3414934
2024-05-12,Văn phòng phẩm,3542365
2024-05-13,Văn phòng phẩm,3425893
2024-05-14,Văn phòng phẩm,3465000
2024-05-15,Văn phòng phẩm,3524539
2024-05-16,Văn phòng phẩm,3268072
2024-05-17,Văn phòng phẩm,3182479
2024-05-18,Văn phòng phẩm,3599491
2024-05-19,Văn phòng phẩm,3515938
2024-05-20,Văn phòng phẩm,3367707
2024-05-21,Văn phòng phẩm,3504996
2024-05-22,Văn phòng phẩm,3163239
2024-05-23,Văn phòng phẩm,3055453
2024-05-24,Văn phòng phẩm,3513430
2024-05-25,Văn phòng phẩm,3412899
2024-05-26,Văn phòng phẩm,3400253
2024-05-27,Văn phòng phẩm,2977650
2024-05-28,Văn phòng phẩm,3087756
2024-05-29,Văn phòng phẩm,3219319
2024-05-30,Văn phòng phẩm,3056426
2024-05-31,Văn phòng phẩm,3329152
2024-06-01,Văn phòng phẩm,3210418
2024-06-02,Văn phòng phẩm,3108140
2024-06-03,Văn phòng phẩm,3120608
2024-06-04,Văn phòng phẩm,3444555
2024-06-05,Văn phòng phẩm,3465167
2024-06-06,Văn phòng phẩm,3371409
2024-06-07,Văn phòng phẩm,3125112
2024-06-08,Văn phòng phẩm,3324930
2024-06-09,Văn phòng phẩm,3246523
2024-06-10,Văn phòng phẩm,3139968
2024-06-11,Văn phòng phẩm,3094149
2024-06-12,Văn phòng phẩm,3386517
2024-06-13,Văn phòng phẩm,3155330
2024-06-14,Văn phòng phẩm,3375902
2024-06-15,Văn phòng phẩm,3286446
2024-06-16,Văn phòng phẩm,3241036
2024-06-17,Văn phòng phẩm,3341501
2024-06-18,Văn phòng phẩm,3367677
2024-06-19,Văn phòng phẩm,3374605
2024-06-20,Văn phòng phẩm,3593378
2024-06-21,Văn phòng phẩm,3499360
2024-06-22,Văn phòng phẩm,3306873
2024-06-23,Văn phòng phẩm,3399705
2024-06-24,Văn phòng phẩm,3603731
2024-06-25,Văn phòng phẩm,3399888
2024-06-26,Văn phòng phẩm,3533778
2024-06-27,Văn phòng phẩm,3192504
2024-06-28,Văn phòng phẩm,3484605
2024-06-29,Văn phòng phẩm,3657277
2024-06-30,Văn phòng phẩm,3331117
2024-07-01,Văn phòng phẩm,3082159
2024-07-02,Văn phòng phẩm,3488944
2024-07-03,Văn phòng phẩm,3496846
2024-07-04,Văn phòng phẩm,3348213
2024-07-05,Văn phòng phẩm,3305540
2024-07-06,Văn phòng phẩm,3546188
2024-07-07,Văn phòng phẩm,3081800
2024-07-08,Văn phòng phẩm,3120007
2024-07-09,Văn phòng phẩm,3142408
2024-07-10,Văn phòng phẩm,3082534
2024-07-11,Văn phòng phẩm,3168299
2024-07-12,Văn phòng phẩm,3314537
2024-07-13,Văn phòng phẩm,3554848
2024-07-14,Văn phòng phẩm,3365240
2024-07-15,Văn phòng phẩm,3253022
2024-07-16,Văn phòng phẩm,3288810
2024-07-17,Văn phòng phẩm,3271741
2024-07-18,Văn phòng phẩm,3137909
2024-07-19,Văn phòng phẩm,3028235
2024-07-20,Văn phòng phẩm,3112675
2024-07-21,Văn phòng phẩm,3073789
2024-07-22,Văn phòng phẩm,3525194
2024-07-23,Văn phòng phẩm,3625715
2024-07-24,Văn phòng phẩm,3546930
2024-07-25,Văn phòng phẩm,3047815
2024-07-26,Văn phòng phẩm,3569142
2024-07-27,Văn phòng phẩm,3069559
2024-07-28,Văn phòng phẩm,3331679
2024-07-29,Văn phòng phẩm,2985349
2024-07-30,Văn phòng phẩm,3409975
2024-07-31,Văn phòng phẩm,3160197
2024-08-01,Văn phòng phẩm,3339515
2024-08-02,Văn phòng phẩm,3266706
2024-08-03,Văn phòng phẩm,3331213
2024-08-04,Văn phòng phẩm,2992055
2024-08-05,Văn phòng phẩm,3328216
2024-08-06,Văn phòng phẩm,3466579
2024-08-07,Văn phòng phẩm,3279217
2024-08-08,Văn phòng phẩm,3631699
2024-08-09,Văn phòng phẩm,3611866
2024-08-10,Văn phòng phẩm,3390376
2024-08-11,Văn phòng phẩm,3129118
2024-08-12,Văn phòng phẩm,3035071
2024-08-13,Văn phòng phẩm,3067600
2024-08-14,Văn phòng phẩm,3559270
2024-08-15,Văn phòng phẩm,3101798
2024-08-16,Văn phòng phẩm,3615351
2024-08-17,Văn phòng phẩm,3453171
2024-08-18,Văn phòng phẩm,3045967
2024-08-19,Văn phòng phẩm,3107972
2024-08-20,Văn phòng phẩm,3055537
2024-08-21,Văn phòng phẩm,3479692
2024-08-22,Văn phòng phẩm,3342252
2024-08-23,Văn phòng phẩm,3554099
2024-08-24,Văn phòng phẩm,3055955
2024-08-25,Văn phòng phẩm,3234886
2024-08-26,Văn phòng phẩm,3083186
2024-08-27,Văn phòng phẩm,3154810
2024-08-28,Văn phòng phẩm,3017080
2024-08-29,Văn phòng phẩm,3175854
2024-08-30,Văn phòng phẩm,3470420
